Site Name	Owner	Company CEO	CEO Annual Pay	Company Net Profit	Company Reported MT of Salmon harvested in a year	Latitude	Longitude	Farm Type	Type of Salmon Grown	Brand Names Sold Under	Date Registered	National Grid Reference	Nation	Region or Province	Local Authority	Location	Farm Site Licensed 2017-2020?	Feed Discharged Per Year In Metric Tons (MT)	Reported Green House Gas (GHG) C02 MT emissions from feed discharged per annum	Salmon Grown Per Year	Approx. effluent rate based on stocking size	Algae Blooms	# Salmon Mortalities 2012-2020	Locally Reported Impact on Wildlife and Area	Lifetime Reported Escapes 1998-2020	Infectious Salmon Anaemia Virus Outbreak 2012-2020 (ISAv)	Piscine Reovirus Outbreak (PRV)	Infectious Pancreatic Necrosis Virus Confirmed 2012-2020 (IPNv)	Sealice Outbreaks	Sealice Treatments	Florfenicol Treatments	Reported SLICE®, emamectin benzoate (EMB)Treatments
Atrevida Point	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.657292	-126.452523	Sea Farm	Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Hanna Channel	Western Shore-Vancouver Island, BC	Y	Info coming soon	4,501 MT C02e (2019)	2,319.3 MT (2019)	Info coming soon	Info coming soon	61,104 fish (2019)	Info coming soon	3,926 (-1.03% of total-posted 2019)	Info coming soon	Info coming soon	Info coming soon	Y	Y	35.84 kg (79 lbs) (2019)	August and November 2019
Barnes Bay	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	50.324428	-125.260235	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Sonora Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3000	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Bennett Point (Noo-la)	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	50.608011	-126.363212	Sea Farm	Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	S.E. Turnour Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	4400	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Concepcion Pt.	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.659539	-126.479599	Sea Farm	Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Bligh Island	Western Shore-Vancouver Island, BC	Y	Info coming soon	321 MT CO2e (2019)	3,105 MT (2019)	Info coming soon	Info coming soon	103,164 fish, or 18.12% of total (2019)	Info coming soon	14,179 fish (posted 2019)	Info coming soon	Info coming soon	Info coming soon	Y	Y	210.02 kg (2019)	August and November 2019
Culloden Point, Jervis Inlet	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.796486	-124.097584	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Jervis Inlet	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	1500 MT permitted but produced 1,817 MT (2019)	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Esperanza	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.879844	-126.760661	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Hecate Channel	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	3600	Info coming soon	Info coming soon	Info coming soon	Info coming soon	29,556 (-3.65% of total-posted 2/14/2020)	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Gold River (Fish Hatchery)	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.685389	-126.123906	Freshwater Hatchery	Chinook Salmon (Oncorhynchus tshawytscha)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Gold River, BC	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	23,400 MT per annum allowed (doubled capacity to 46,800 MT under construction as of 2020)	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Gore Island	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.646305	-126.433986	Sea Farm	Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	King Passage	Western Shore-Vancouver Island, BC	Y	Info coming soon	6140 MT C02e (2019)	4100 MT permitted but 4, 748 MT harvested (2019)	Info coming soon	Info coming soon	162,499 fish (23.41% of total-2019)	Info coming soon	16,472 fish (2019)	Info coming soon	Info coming soon	Info coming soon	Y	Y	124.76 kg (2019)	August and November
Hecate	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.86748	-126.75882	Sea Farm	Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Hecate Channel	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	4000	Info coming soon	Info coming soon	Info coming soon	Info coming soon	37,983 (-5.77 % of total-posted 2/14/2020)	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Kunechin, North Salmon Inlet	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.635361	-123.783002	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	North Salmon Inlet	Eastern Side-Vancouver Island-BC	Pen Not Present	Info coming soon	Info coming soon	1500	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Lutes Creek	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.89107	-126.772513	Sea Farm	TBD	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Hecate Channel	Western Shore-Vancouver Island, BC	Pen Not Present	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Middle Point Hatchery	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	50.091153	-125.318476	Freshwater Hatchery	Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Middle Point, BC	Eastern Side-Vancouver Island-BC	Pen Not Present	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Muchalat Inlet North, Nootka Sound	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.645214	-126.342432	Sea Farm	Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Nootka, Gold River	Western Shore-Vancouver Island, BC	Fallow 	Info coming soon	928 MT C02e (2019)	4,100 MT permitted but 4,748 MT produced (2019)	Info coming soon	Info coming soon	65,452 fish  (11.82% of total 2019)	Info coming soon	21,255 fish (2019)	Info coming soon	Info coming soon	Info coming soon	Y	Y	99.58 kg (2019)	August and November (2019)
Muchalat Inlet South	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.647448	-126.327845	Sea Farm	Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Nootka, Gold River	Western Shore-Vancouver Island, BC	Pen Not Present	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Newcomb Point, Salmon Inlet	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.645336	-123.661375	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Salmon Inlet	Eastern Side-Vancouver Island-BC	Pen Not Present	Info coming soon	Info coming soon	1000	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Salten	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.615331	-123.83405	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Northwest Sechelt Inlet	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	1500 MT permitted but produced 1, 450 MT (2019)	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Site 13	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.62883	-123.844945	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Sechelt Inlet	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	900 MT permitted but produced 702 MT (2019)	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Site 9	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.647643	-123.724026	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	North Salmon Inlet	Eastern Side-Vancouver Island-BC	Fallow	Info coming soon	Info coming soon	1500	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Steamer Point	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.886808	-126.791581	Sea Farm	Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Hecate Channel	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	3600	Info coming soon	Info coming soon	Info coming soon	Info coming soon	50,160 (-6.75 % of total -posted 2/14/2020)	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Tsa-ya	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	50.616154	-126.332284	Sea Farm	Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Broughton Archipelago, Minstrel Island	Eastern Side-Vancouver Island-BC	Pen Not Present	Info coming soon	Info coming soon	3000	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Vantage Point	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.67092	-123.861386	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Sechelt Inlet	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	1,500 MT permitted but produced 1,013 MT (2019)	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Wa-kwa	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	50.600283	-126.349815	Sea Farm	Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Broughton Archipelago	Eastern Side-Vancouver Island-BC	Pen Not Present	Info coming soon	Info coming soon	2500	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Williamson Passage	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.65632	-126.430997	Sea Farm	Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Nootka Sound	Western Shore-Vancouver Island, BC	Fallow 	Info coming soon	3,008 MT C02e (2019)	3900	Info coming soon	Info coming soon	676,936 fish (58.99% of total 2019)	Info coming soon	53,401 fish (2019)	Info coming soon	Info coming soon	Info coming soon	Y	Y	149.53 kg (2019) + Previous treatment of  1,127.20 kg (2018?)	August and November 2018
Lochalsh	Kitasoo Aquafarms/Marine Harvest Canada (MOWI) Affiliation	TBD	TBD	TBD	TBD	52.536306	-128.360294	Sea Farm	Atlantic Salmon (Salmo salar)	N/A	N/A	N/A	Canada	British Columbia	S. shore Roderick Island	Central Coast, BC	Pen Not Present	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Surprise Island	Kyuquot Seafoods Ltd.	TBD	TBD	TBD	TBD	50.046643	-127.296403	Sea Farm	Sablefish (Anoplopoma fimbria)	N/A	N/A	N/A	Canada	British Columbia	Crowther Channel [FF]	Western Shore-Vancouver Island, BC	N/A	N/A	N/A	N/A	N/A	N/A	N/A		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Alexander Inlet	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	52.681502	-128.57552	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Meyers Passage	Central Coast, BC	Y	Info coming soon	Info coming soon	4000	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Althorpe	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.473982	-125.808581	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Sunderland Channel	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	2550	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Amai	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.027529	-127.145208	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Fair Harbour	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Arrow Pass	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.710026	-126.661376	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	N.W. Side of Bonwick Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
